Lintang,Bujur,Tinggi_Ortometrik,FAA
-7.78614,108.41867,66.000,157.40368
-7.78592,108.41795,66.000,157.50680
-7.78569,108.41724,66.000,157.60511
-7.78547,108.41652,65.000,157.69864
-7.78524,108.41581,65.000,157.78728
-7.78502,108.41509,65.000,157.87118
-7.78479,108.41438,65.000,157.95030
-7.78457,108.41367,65.000,158.02477
-7.78435,108.41295,65.000,158.09446
-7.78412,108.41224,59.000,158.15960
-7.78390,108.41153,59.000,158.22006
-7.78367,108.41081,59.000,158.27599
-7.78345,108.41010,59.000,158.32738
-7.78322,108.40939,68.000,158.37425
-7.78300,108.40868,68.000,158.41668
-7.78277,108.40796,59.000,158.45483
-7.78255,108.40725,59.000,158.48869
-7.78232,108.40654,59.000,158.51828
-7.78210,108.40583,59.000,158.54373
-7.78187,108.40512,59.000,158.56501
-7.78165,108.40440,59.000,158.58222
-7.78142,108.40369,53.000,158.59552
-7.78120,108.40298,53.000,158.60490
-7.78097,108.40227,53.000,158.61042
-7.78074,108.40156,53.000,158.61220
-7.78052,108.40084,53.000,158.61025
-7.78029,108.40013,53.000,158.60467
-7.78007,108.39942,73.000,158.59548
-7.77984,108.39871,73.000,158.58282
-7.77962,108.39800,73.000,158.56678
-7.77939,108.39728,73.000,158.54736
-7.77917,108.39657,73.000,158.52470
-7.77894,108.39586,55.000,158.49880
-7.77872,108.39515,65.000,158.46982
-7.77849,108.39444,65.000,158.43776
-7.77827,108.39372,65.000,158.40268
-7.77804,108.39301,65.000,158.36468
-7.77782,108.39230,65.000,158.32390
-7.77759,108.39159,83.000,158.28028
-7.77737,108.39087,83.000,158.23396
-7.77714,108.39016,83.000,158.18500
-7.77692,108.38945,83.000,158.13345
-7.77669,108.38874,83.000,158.07937
-7.77647,108.38802,83.000,158.02295
-7.77624,108.38731,96.000,157.96412
-7.77601,108.38660,96.000,157.90303
-7.77579,108.38588,96.000,157.83972
-7.77556,108.38517,96.000,157.77436
-7.77533,108.38446,96.000,157.70693
-7.77511,108.38375,96.000,157.63750
-7.77488,108.38303,96.000,157.56631
-7.77465,108.38232,96.000,157.49322
-7.77443,108.38161,96.000,157.41837
-7.77420,108.38089,96.000,157.34185
-7.77398,108.38018,96.000,157.26380
-7.77375,108.37947,96.000,157.18429
-7.77353,108.37875,96.000,157.10336
-7.77330,108.37804,96.000,157.02115
-7.77307,108.37733,96.000,156.93773
-7.77285,108.37661,96.000,156.85321
-7.77262,108.37590,96.000,156.76763
-7.77239,108.37519,96.000,156.68116
-7.77217,108.37447,94.000,156.59386
-7.77194,108.37376,94.000,156.50582
-7.77171,108.37305,94.000,156.41716
-7.77148,108.37233,94.000,156.32788
-7.77125,108.37162,94.000,156.23823
-7.77103,108.37091,94.000,156.14819
-7.77080,108.37019,117.000,156.05798
-7.77057,108.36948,117.000,155.96765
-7.77034,108.36876,117.000,155.87727
-7.77012,108.36804,117.000,155.78707
-7.76989,108.36733,117.000,155.69705
-7.76966,108.36661,110.000,155.60729
-7.76943,108.36589,110.000,155.51801
-7.76921,108.36518,110.000,155.42929
-7.76898,108.36446,110.000,155.34121
-7.76875,108.36374,110.000,155.25388
-7.76852,108.36303,110.000,155.16736
-7.76829,108.36231,93.000,155.08165
-7.76807,108.36159,93.000,154.99714
-7.76784,108.36088,93.000,154.91380
-7.76762,108.36016,93.000,154.83167
-7.76739,108.35945,93.000,154.75092
-7.76717,108.35873,93.000,154.67160
-7.76694,108.35801,101.000,154.59385
-7.76671,108.35730,101.000,154.51763
-7.76648,108.35658,104.000,154.44314
-7.76625,108.35587,104.000,154.37041
-7.76603,108.35515,104.000,154.29950
-7.76580,108.35444,104.000,154.23065
-7.76557,108.35372,105.000,154.16376
-7.76535,108.35301,105.000,154.09889
-7.76512,108.35229,105.000,154.03620
-7.76489,108.35157,105.000,153.97562
-7.76466,108.35086,105.000,153.91726
-7.76444,108.35014,105.000,153.86117
-7.76421,108.34943,111.000,153.80738
-7.76398,108.34871,111.000,153.75600
-7.76376,108.34799,111.000,153.70681
-7.76353,108.34728,111.000,153.66007
-7.76331,108.34656,111.000,153.61566
-7.76308,108.34584,111.000,153.57362
-7.76286,108.34513,110.000,153.53390
-7.76263,108.34441,110.000,153.49652
-7.76241,108.34369,126.000,153.46153
-7.76218,108.34298,126.000,153.42880
-7.76196,108.34226,126.000,153.39833
-7.76173,108.34155,131.000,153.37016
-7.76150,108.34083,131.000,153.34411
-7.76128,108.34011,131.000,153.32021
-7.76105,108.33940,131.000,153.29837
-7.76083,108.33868,131.000,153.27851
-7.76060,108.33796,131.000,153.26047
-7.76037,108.33725,133.000,153.24435
-7.76015,108.33653,133.000,153.22996
-7.75992,108.33582,133.000,153.21727
-7.75969,108.33510,133.000,153.20611
-7.75946,108.33439,133.000,153.19642
-7.75924,108.33367,133.000,153.18812
-7.75901,108.33296,123.000,153.18099
-7.75878,108.33224,123.000,153.17504
-7.75856,108.33152,123.000,153.17013
-7.75833,108.33081,90.000,153.16609
-7.75811,108.33009,90.000,153.16274
-7.75788,108.32937,90.000,153.15998
-7.75766,108.32866,72.000,153.15773
-7.75743,108.32794,72.000,153.15584
-7.75721,108.32722,72.000,153.15416
-7.75698,108.32651,72.000,153.15254
-7.75676,108.32579,72.000,153.15089
-7.75654,108.32507,72.000,153.14895
-7.75631,108.32436,48.000,153.14669
-7.75608,108.32364,48.000,153.14393
-7.75586,108.32293,48.000,153.14045
-7.75563,108.32221,48.000,153.13627
-7.75541,108.32150,48.000,153.13108
-7.75518,108.32079,85.000,153.12487
-7.75496,108.32007,85.000,153.11747
-7.75473,108.31936,85.000,153.10883
-7.75451,108.31865,85.000,153.09873
-7.75428,108.31793,85.000,153.08692
-7.75406,108.31722,81.000,153.07357
-7.75383,108.31651,67.000,153.05843
-7.75361,108.31580,67.000,153.04131
-7.75338,108.31508,67.000,153.02226
-7.75316,108.31437,67.000,153.00103
-7.75293,108.31366,67.000,152.97762
-7.75271,108.31295,67.000,152.95191
-7.75248,108.31224,98.000,152.92387
-7.75226,108.31153,98.000,152.89348
-7.75203,108.31082,98.000,152.86053
-7.75181,108.31011,98.000,152.82501
-7.75158,108.30940,98.000,152.78693
-7.75136,108.30869,98.000,152.74636
-7.75113,108.30798,104.000,152.70310
-7.75091,108.30727,104.000,152.65712
-7.75068,108.30656,104.000,152.60860
-7.75046,108.30585,104.000,152.55735
-7.75024,108.30514,104.000,152.50342
-7.75001,108.30443,104.000,152.44687
-7.74979,108.30372,112.000,152.38779
-7.74956,108.30301,112.000,152.32607
-7.74934,108.30230,112.000,152.26186
-7.74911,108.30159,112.000,152.19526
-7.74889,108.30088,112.000,152.12630
-7.74866,108.30017,112.000,152.05503
-7.74844,108.29946,111.000,151.98165
-7.74821,108.29876,111.000,151.90611
-7.74799,108.29805,111.000,151.82849
-7.74777,108.29734,111.000,151.74908
-7.74754,108.29663,111.000,151.66788
-7.74732,108.29592,111.000,151.58496
-7.74709,108.29522,105.000,151.50066
-7.74687,108.29451,105.000,151.41511
-7.74664,108.29380,105.000,151.32839
-7.74642,108.29309,105.000,151.24063
-7.74619,108.29239,105.000,151.15218
-7.74597,108.29168,105.000,151.06305
-7.74575,108.29098,106.000,150.97353
-7.74552,108.29027,106.000,150.88368
-7.74530,108.28956,106.000,150.79387
-7.74507,108.28886,106.000,150.70418
-7.74485,108.28815,106.000,150.61499
-7.74463,108.28745,103.000,150.52630
-7.74440,108.28674,103.000,150.43845
-7.74418,108.28604,103.000,150.35161
-7.74396,108.28533,103.000,150.26610
-7.74373,108.28462,103.000,150.18205
-7.74351,108.28392,103.000,150.09976
-7.74329,108.28321,102.000,150.01947
-7.74306,108.28251,102.000,149.94131
-7.74284,108.28180,102.000,149.86553
-7.74262,108.28109,102.000,149.79240
-7.74240,108.28039,102.000,149.72220
-7.74218,108.27968,102.000,149.65495
-7.74196,108.27897,96.000,149.59107
-7.74173,108.27827,96.000,149.53074
-7.74151,108.27757,103.000,149.47408
-7.74129,108.27686,103.000,149.42136
-7.74106,108.27616,103.000,149.37279
-7.74084,108.27546,103.000,149.32855
-7.74062,108.27475,102.000,149.28879
-7.74039,108.27405,102.000,149.25373
-7.74017,108.27335,102.000,149.22359
-7.73995,108.27265,102.000,149.19841
-7.73972,108.27194,102.000,149.17836
-7.73950,108.27124,102.000,149.16368
-7.73928,108.27054,96.000,149.15438
-7.73906,108.26984,96.000,149.15066
-7.73884,108.26913,96.000,149.15265
-7.73861,108.26843,96.000,149.16044
-7.73839,108.26773,96.000,149.17412
-7.73817,108.26703,96.000,149.19375
-7.73795,108.26632,93.000,149.21935
-7.73772,108.26562,93.000,149.25106
-7.73750,108.26492,93.000,149.28888
-7.73727,108.26422,103.000,149.33284
-7.73705,108.26351,103.000,149.38290
-7.73683,108.26281,103.000,149.43910
-7.73660,108.26211,80.000,149.50134
-7.73638,108.26141,80.000,149.56977
-7.73616,108.26070,80.000,149.64422
-7.73593,108.26000,80.000,149.72467
-7.73571,108.25930,80.000,149.81095
-7.73549,108.25859,80.000,149.90310
-7.73526,108.25789,86.000,150.00096
-7.73504,108.25719,86.000,150.10441
-7.73482,108.25649,86.000,150.21336
-7.73459,108.25578,86.000,150.32774
-7.73437,108.25508,86.000,150.44733
-7.73415,108.25438,86.000,150.57196
-7.73392,108.25368,104.000,150.70144
-7.73370,108.25297,104.000,150.83560
-7.73348,108.25227,104.000,150.97420
-7.73326,108.25157,144.000,151.11707
-7.73303,108.25086,144.000,151.26402
-7.73281,108.25016,144.000,151.41479
-7.73258,108.24946,133.000,151.56913
-7.73236,108.24876,133.000,151.72686
