Lintang,Bujur,Tinggi_Ortometrik,FAA
-6.43040,108.21180,42.900,32.25745
-6.41187,108.20230,32.600,30.84842
-6.49156,108.26500,457.500,71.06328
-6.46156,108.19180,105.100,40.92533
-6.41229,108.16590,29.900,27.20637
-6.41384,108.16600,30.700,26.83236
-6.40598,108.19240,29.100,29.95553
-6.42136,108.20230,38.900,30.98363
-6.42124,108.19490,40.100,30.69655
-6.42111,108.19180,34.800,29.42273
-6.42360,108.18330,40.400,28.72189
-6.43038,108.18020,41.000,27.64121
-6.43234,108.17230,43.100,26.85028
-6.42157,108.16580,33.800,26.64476
-6.42563,108.16500,39.200,26.62069
-6.43228,108.16420,41.200,25.60484
-6.42369,108.19200,40.500,38.02096
-6.43484,108.18560,59.300,37.89196
-6.44120,108.18530,62.500,37.54224
-6.45098,108.19050,77.900,38.62039
-6.44500,108.20310,71.000,34.00028
-6.44161,108.20420,58.500,32.53898
-6.43479,108.20600,52.500,32.44342
-6.45276,108.20450,122.200,38.43216
-6.45485,108.20000,100.000,35.40588
-6.45128,108.20110,79.800,34.03098
-6.46355,108.20310,138.400,42.73646
-6.46493,108.20440,153.400,42.53977
-6.47165,108.20090,158.700,49.68051
-6.47177,108.19380,139.900,46.81374
-6.47511,108.19100,151.400,45.03684
-6.47237,108.19010,127.100,42.21970
-6.46592,108.18460,104.200,39.26955
-6.46282,108.18250,89.700,36.52519
-6.45428,108.18050,74.800,35.09683
-6.45172,108.17570,70.600,34.32160
-6.44547,108.17280,58.800,31.63402
-6.44224,108.17130,51.300,31.63328
-6.43542,108.17040,44.400,30.72984
-6.44014,108.15260,44.900,21.90943
-6.44207,108.15470,47.900,22.26693
-6.44579,108.16030,52.000,22.52805
-6.44559,108.16280,51.200,29.48507
-6.45196,108.16070,54.800,22.07845
-6.46169,108.16110,65.000,21.57178
-6.45293,108.16340,55.500,28.98505
-6.45552,108.17000,62.100,29.07069
-6.46437,108.16130,70.000,21.33152
-6.47155,108.16120,79.400,21.20894
-6.47501,108.15570,98.000,15.10184
-6.48005,108.16210,96.500,23.14689
-6.47100,108.17270,84.200,31.04205
-6.47453,108.17300,103.600,31.37053
-6.48103,108.17300,122.400,29.12365
-6.48488,108.17140,144.800,31.23167
-6.48337,108.16430,119.400,27.35010
-6.48130,108.15320,104.100,16.03811
-6.49262,108.20430,477.700,78.40748
-6.49475,108.19230,445.200,78.84168
-6.49551,108.17260,248.300,36.00058
-6.49201,108.17130,188.200,28.23667
-6.49209,108.16290,157.900,25.56027
-6.48115,108.17490,176.800,32.31679
-6.48277,108.17520,203.900,45.34078
-6.49086,108.18120,269.800,54.46237
-6.49472,108.18340,361.800,80.52626
-6.45258,108.23020,261.900,63.02620
-6.48167,108.24510,433.300,70.24286
-6.46495,108.15420,69.500,19.32545
-6.47257,108.22530,256.600,55.40697
-6.32847,106.07904,268.600,107.84914
-6.33297,106.12762,152.200,83.79367
-6.34196,106.17378,102.500,73.38124
-6.33654,106.20814,75.300,66.34042
-6.33470,106.30688,63.200,71.19088
-6.32570,106.34617,64.700,71.95178
-6.32892,106.39132,56.000,67.79203
-6.32558,106.44053,64.600,67.59327
-6.32496,106.48536,64.400,65.87376
-6.32548,106.53133,58.300,64.31009
-6.32586,106.57903,67.400,67.90226
-6.32686,106.62596,65.600,70.39676
-6.32379,106.66390,68.500,60.57274
-6.33194,106.70835,71.000,59.50370
-6.28446,106.08573,627.300,135.17570
-6.28654,106.12482,236.500,95.40430
-6.28382,106.17065,130.100,73.28798
-6.28153,106.21515,77.600,63.49356
-6.29055,106.27261,32.400,59.14084
-6.27129,106.31025,40.800,63.94193
-6.27745,106.34593,56.500,66.12880
-6.28622,106.39715,37.800,63.28311
-6.28101,106.44379,49.400,66.06687
-6.27947,106.48774,49.100,68.15442
-6.28257,106.53256,56.100,74.33495
-6.28155,106.57624,55.000,71.86532
-6.28509,106.62400,54.000,63.81715
-6.27915,106.66871,49.900,47.20770
-6.28230,106.71099,47.600,51.24582
-6.23731,106.07700,436.500,103.31950
-6.23618,106.12770,170.000,78.45754
-6.23618,106.16962,118.500,73.59726
-6.24152,106.20839,77.200,70.83191
-6.23940,106.25813,56.000,68.27761
-6.23787,106.31350,31.600,66.96371
-6.23776,106.35369,46.400,68.91548
-6.22873,106.39675,36.200,69.56182
-6.24417,106.44330,40.500,66.19895
-6.23858,106.48903,39.900,66.77259
-6.23912,106.57771,47.500,66.32863
-6.23788,106.62175,41.700,47.39198
-6.23729,106.66557,38.900,49.43895
-6.23618,106.71338,41.500,53.10332
-6.20497,106.07834,207.300,84.97939
-6.18758,106.12808,123.900,76.42680
-6.18716,106.17533,76.900,67.19368
-6.19468,106.21567,59.700,73.37779
-6.19207,106.25042,53.100,76.26046
-6.19509,106.30728,26.500,70.28910
-6.20187,106.35070,37.300,67.87253
-6.19641,106.39497,33.900,69.60839
-6.19389,106.43968,35.300,70.69939
-6.18996,106.48981,37.500,70.34462
-6.19087,106.52973,41.100,68.58856
-6.18829,106.58016,33.700,51.75359
-6.19507,106.62021,35.100,44.37482
-6.19076,106.66602,31.200,50.58397
-6.18887,106.71440,25.500,54.21056
-6.14820,106.08235,237.900,100.76116
-6.14571,106.12922,77.100,71.95332
-6.14902,106.17072,50.200,65.13429
-6.15430,106.21790,41.500,71.32670
-6.14815,106.26330,32.700,76.04772
-6.14688,106.30898,24.200,68.77763
