Lintang,Bujur,Tinggi_Ort,CBA
-6.23129,105.10297,-970,-60.053749
-6.75755,110.99979,48,-59.883237
-7.54704,113.31472,-52.724,-59.811708
-7.80502,112.80675,527,-59.798084
-7.53068,112.89264,-5.854,-59.545178
-6.88691,110.64597,8,-59.521116
-7.41106,113.215,-44.361,-59.428511
-7.58878,113.15943,-20.824,-59.06489
-7.37831,110.66409,268,-58.962348
-7.29078,111.25907,120,-58.891393
-7.42097,113.21194,-40.54,-58.80146
-6.8985,110.68271,5,-58.748803
-7.69029,112.84277,35,-58.743243
-6.79847,109.2832,-14.722,-58.738508
-7.28727,105.93306,-2491.822,-58.574304
-7.56069,112.16993,45,-58.494277
-7.70252,113.26607,-22.707,-58.451737
-7.51588,113.32447,-58.819,-58.363782
-7.28101,111.26214,110,-58.2517
-7.38052,112.19053,79,-58.217699
-7.67667,111.99101,52,-58.215555
-7.57326,113.44995,-60.298,-58.063574
-7.28147,105.64451,-2261.171,-58.030856
-7.39629,112.07892,181,-57.958401
-8.58148,112.42075,-718.861,-57.949128
-6.66156,114.30399,-76.514,-57.430512
-7.0202,109.92375,304,-57.007595
-7.30052,111.25603,126,-56.84935
-7.81551,112.8035,607,-56.718372
-7.81517,113.23079,36,-56.63706
-6.97889,113.065,134,-56.444015
-7.65831,112.85271,22,-56.36472
-7.48672,110.77186,131,-56.341538
-7.3151,112.10433,78,-56.294429
-8.06225,112.58379,379,-56.289096
-7.18762,105.81897,-2248.19,-56.21586
-6.73907,111.00558,41,-56.125567
-7.43699,110.78747,159,-56.074348
-7.47672,110.77501,125,-56.015985
-8.15409,111.98356,98,-56.007555
-6.60835,113.60769,-48.445,-55.896846
-7.70102,112.83947,44,-55.836347
-7.44625,113.77451,-56.805,-55.813794
-7.67145,113.27581,-22.508,-55.745686
-7.80504,113.23396,30,-55.70321
-7.20945,111.56953,33,-55.590789
-7.29055,112.54041,11,-55.583837
-7.36698,110.8094,122,-55.552891
-7.33996,114.66336,-104.764,-55.520671
-6.54446,111.06658,1,-55.470537
-7.79459,112.81007,363,-55.347725
-7.2773,105.93622,-2482.366,-55.269519
-7.27178,105.64758,-2234,-55.180446
-6.1053,111.06216,-51.957,-54.90959
-7.2931,113.82239,-35.192,-54.798438
-7.06204,109.91067,612,-54.711746
-7.48773,111.48236,48,-54.644291
-7.51999,112.89599,-6.782,-54.624656
-7.47747,111.48558,50,-54.423471
-7.55179,110.89318,100,-54.353035
-7.66611,111.99432,53,-54.327435
-7.15622,105.39392,-1453.643,-54.171732
-7.64775,112.85602,18,-53.839853
-6.83203,110.40827,-19.627,-53.781985
-7.49798,111.47915,48,-53.744181
-7.46719,111.48881,53,-53.738426
-7.50566,113.47112,-70.55,-53.583104
-7.54925,113.17181,-29.927,-53.581928
-7.37264,113.36927,-51.834,-53.245448
-6.78843,109.28634,-17.065,-53.186984
-7.46679,110.7781,124,-53.079043
-7.49678,110.76871,115,-52.823641
-7.34686,113.09233,-43.26,-52.8077
-7.2712,111.26521,133,-52.791681
-6.90069,110.38678,-10.282,-52.773224
-7.63721,112.85932,12,-52.726292
-7.45689,111.49204,58,-52.724827
-7.33674,113.0955,-38.688,-52.657586
-6.69119,105.10538,-378.458,-52.478401
-7.3828,113.36608,-53.185,-52.208025
-7.40115,113.2181,-46.603,-52.129148
-7.65678,112.71085,153,-51.776744
-7.26208,105.65067,-2186.435,-51.708724
-7.44702,110.78432,130,-51.673142
-6.88978,110.65518,5,-51.647912
-7.32144,113.8126,-45.664,-51.613402
-7.45692,110.7812,126,-51.465348
-7.33158,113.23987,-38.069,-51.441323
-7.40931,110.65439,327,-51.431983
-6.55359,111.06372,1,-51.413919
-7.16777,111.58216,29,-51.198345
-7.50828,111.47591,50,-51.146214
