Lintang,Bujur,Tinggi_Ort,CBA
-6.45406,108.2155,118.7,40.543869
-6.48304,108.2603,389.4,64.409138
-6.47452,108.2638,283,49.671044
-6.46405,108.2604,175.7,39.045429
-6.4803,108.2157,332.6,62.909166
-6.47469,108.2343,292.3,53.222592
-6.47448,108.2409,342.9,59.559045
-6.48445,108.2654,388.5,61.78436
-6.43197,108.2011,47.5,39.199434
-6.41116,108.2519,15.4,29.48419
-6.41484,108.2639,19.3,30.200799
-6.41153,108.2711,13.6,28.795882
-6.48542,108.1928,319.8,67.490214
-6.43526,108.2827,31.1,30.187173
-6.41373,108.1751,35.9,28.577009
-6.4304,108.2118,42.9,32.293851
-6.41187,108.2023,32.6,30.931819
-6.49156,108.265,457.5,71.133979
-6.46156,108.1918,105.1,41.466833
-6.41229,108.1659,29.9,27.400381
-6.41384,108.166,30.7,27.068526
-6.42136,108.2023,38.9,31.159637
-6.42124,108.1949,40.1,30.864157
-6.42111,108.1918,34.8,29.597363
-6.4236,108.1833,40.4,28.844276
-6.43038,108.1802,41,27.86218
-6.43234,108.1723,43.1,27.615212
-6.42157,108.1658,33.8,27.302495
-6.42563,108.165,39.2,27.094234
-6.43228,108.1642,41.2,26.083494
-6.42369,108.192,40.5,38.06612
-6.43484,108.1856,59.3,38.102242
-6.4412,108.1853,62.5,37.80854
-6.45098,108.1905,77.9,38.968157
-6.445,108.2031,71,34.176161
-6.44161,108.2042,58.5,32.723392
-6.43479,108.206,52.5,32.505678
-6.45276,108.2045,122.2,38.757745
-6.45485,108.2,100,35.743396
-6.45128,108.2011,79.8,34.481931
-6.46355,108.2031,138.4,43.056795
-6.46493,108.2044,153.4,42.851998
-6.47165,108.2009,158.7,49.995907
-6.47177,108.1938,139.9,47.166484
-6.47511,108.191,151.4,45.498236
-6.47237,108.1901,127.1,42.820951
-6.46592,108.1846,104.2,39.745149
-6.46282,108.1825,89.7,37.033377
-6.45428,108.1805,74.8,35.438138
-6.45172,108.1757,70.6,34.799291
-6.44547,108.1728,58.8,32.219502
-6.44224,108.1713,51.3,32.088417
-6.43542,108.1704,44.4,31.232389
-6.44014,108.1526,44.9,22.505741
-6.44207,108.1547,47.9,22.715076
-6.44579,108.1603,52,23.106683
-6.44559,108.1628,51.2,30.031489
-6.45196,108.1607,54.8,22.631595
-6.46169,108.1611,65,22.54006
-6.45293,108.1634,55.5,29.728572
-6.45552,108.17,62.1,29.582841
-6.46437,108.1613,70,22.279005
-6.47155,108.1612,79.4,22.184551
-6.47501,108.1557,98,16.181582
-6.48005,108.1621,96.5,24.081386
-6.471,108.1727,84.2,31.683566
-6.47453,108.173,103.6,32.103998
-6.48103,108.173,122.4,29.823166
-6.48488,108.1714,144.8,31.919154
-6.48337,108.1643,119.4,28.09692
-6.4813,108.1532,104.1,17.241829
-6.49262,108.2043,477.7,78.27367
-6.49475,108.1923,445.2,78.767224
-6.49551,108.1726,248.3,36.660345
-6.49201,108.1713,188.2,28.911875
-6.49209,108.1629,157.9,26.385412
-6.48115,108.1749,176.8,32.948636
-6.48277,108.1752,203.9,45.888316
-6.49086,108.1812,269.8,54.894481
-6.49472,108.1834,361.8,80.691536
-6.45258,108.2302,261.9,63.122889
-6.48167,108.2451,433.3,70.231693
-6.46495,108.1542,69.5,19.90761
-6.47257,108.2253,256.6,55.63833
-6.32847,106.07904,268.6,80.873762
-6.33297,106.12762,152.2,67.849896
-6.34196,106.17378,102.5,66.398209
-6.33654,106.20814,75.3,61.148013
-6.3347,106.30688,63.2,70.101323
-6.3257,106.34617,64.7,70.324451
-6.32892,106.39132,56,66.154128
-6.32558,106.44053,64.6,65.843883
-6.32496,106.48536,64.4,64.18308
-6.32548,106.53133,58.3,62.323955
-6.32586,106.57903,67.4,64.968578
-6.32686,106.62596,65.6,67.276803
-6.32379,106.6639,68.5,58.404202
-6.33194,106.70835,71,56.649947
-6.28446,106.08573,627.3,77.056894
-6.28654,106.12482,236.5,73.330335
-6.28382,106.17065,130.1,61.804338
-6.28153,106.21515,77.6,58.530493
-6.29055,106.27261,32.4,59.818728
-6.27129,106.31025,40.8,63.693173
-6.27745,106.34593,56.5,65.718174
-6.28622,106.39715,37.8,63.428912
-6.28101,106.44379,49.4,65.394629
-6.27947,106.48774,49.1,66.989779
-6.28257,106.53256,56.1,73.501689
-6.28155,106.57624,55,72.065089
-6.28509,106.624,54,62.946667
-6.27915,106.66871,49.9,47.376397
-6.2823,106.71099,47.6,50.075247
-6.23731,106.077,436.5,59.405191
-6.23618,106.1277,170,63.922376
-6.23618,106.16962,118.5,63.998717
-6.24152,106.20839,77.2,66.061818
-6.2394,106.25813,56,66.506695
-6.23787,106.3135,31.6,68.469235
-6.23776,106.35369,46.4,69.236184
