Lintang,Bujur,Tinggi_Ortometrik,CBA
-8.19524,110.97518,185,53.19038815
-8.19456,110.9754,185,55.06098548
-8.19387,110.97561,185,56.95130653
-8.19319,110.97583,185,58.82390622
-8.1925,110.97604,185,60.71608501
-8.19181,110.97626,185,62.61576708
-8.19113,110.97647,244,64.31483269
-8.19044,110.97669,244,66.21224265
-8.18976,110.9769,244,68.07817079
-8.18907,110.97712,244,69.97664744
-8.18839,110.97733,244,71.84346397
-8.1877,110.97755,244,73.74269213
-8.18702,110.97776,312,75.39203234
-8.18634,110.97798,312,77.26228884
-8.18565,110.97819,312,79.15132898
-8.18497,110.97841,312,81.0217454
-8.18429,110.97862,312,82.8854444
-8.1836,110.97884,312,84.7810577
-8.18292,110.97905,265,86.9870821
-8.18224,110.97927,307,89.0032701
-8.18156,110.97948,307,91.1688904
-8.18087,110.9797,307,93.3785371
-8.18019,110.97991,307,95.5582315
-8.17951,110.98013,307,97.7524095
-8.17882,110.98034,240,100.2367222
-8.17814,110.98056,240,102.4485391
-8.17746,110.98077,240,104.6590795
-8.17677,110.98099,240,106.9145705
-8.17609,110.9812,240,109.1382741
-8.17541,110.98142,240,111.3770792
-8.17473,110.98163,284,113.4278758
-8.17404,110.98185,284,115.7077
-8.17336,110.98206,284,117.9546632
-8.17268,110.98228,284,120.2172004
-8.172,110.9825,284,122.4861728
-8.17132,110.98271,284,124.7517344
-8.17063,110.98293,322,126.8929277
-8.16995,110.98315,322,129.1789188
-8.16927,110.98336,324,131.4262522
-8.16859,110.98358,324,133.5008038
-8.1679,110.9838,324,135.5870594
-8.16722,110.98401,324,137.6250067
-8.16654,110.98423,380,139.1694195
-8.16586,110.98445,380,140.0451774
-8.16518,110.98467,380,140.9145677
-8.16449,110.98488,380,141.7915411
-8.16381,110.9851,380,142.6481138
-8.16313,110.98532,380,143.4981772
-8.16245,110.98553,403,144.2295984
-8.16177,110.98575,403,145.0658038
-8.16108,110.98596,403,145.9095819
-8.1604,110.98618,403,146.732574
-8.15972,110.98639,403,147.5506302
-8.15904,110.98661,403,148.3603298
-8.15836,110.98682,403,149.165228
-8.15768,110.98704,388,150.0390355
-8.157,110.98725,388,150.8311124
-8.15632,110.98747,388,151.6142778
-8.15564,110.98768,366,152.5089653
-8.15496,110.9879,366,153.2790621
-8.15428,110.98811,366,154.0447574
-8.1536,110.98832,350,154.889658
-8.15293,110.98854,350,155.6275609
-8.15225,110.98875,350,156.3732146
-8.15157,110.98896,350,157.112023
-8.15089,110.98918,350,157.8408992
-8.15021,110.98939,350,158.5658383
-8.14954,110.9896,353,158.4185955
-8.14886,110.98982,353,157.8919015
-8.14818,110.99003,353,157.3650688
-8.14751,110.99024,353,156.8417053
-8.14683,110.99045,353,156.3082047
